#,Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR
1,Cole Ragans,KCR,11,9,0,32,32,186.1,10.77,3.24,0.72,0.29,74.70%,40.70%,8.10%,95.5,3.14,3.27,2.99,3.46,4.9
2,Tyler Glasnow,LAD,9,6,0,22,22,134,11.28,2.35,1.01,0.253,69.80%,48.60%,13.60%,96.4,3.49,2.62,2.9,2.68,3.8
3,Hunter Greene,CIN,9,5,0,26,26,150.1,10.12,3.41,0.72,0.237,80.50%,34.00%,6.90%,97.8,2.75,3.03,3.47,4.19,3.8
4,Corbin Burnes,BAL,15,9,0,32,32,194.1,8.38,2.22,1.02,0.269,75.50%,48.20%,11.60%,,2.92,3.27,3.55,3.55,3.7
5,Framber Valdez,HOU,15,7,0,28,28,176.1,8.63,2.81,0.66,0.276,77.10%,60.60%,14.00%,95.9,2.91,3.36,3.25,3.08,3.6
6,Zac Gallen,ARI,14,6,0,28,28,148,9.49,3.28,0.79,0.305,74.70%,46.20%,9.60%,93.8,3.65,3.94,3.38,3.62,2.8
7,Yoshinobu Yamamoto,LAD,7,2,0,18,18,90,10.5,2.2,0.7,0.305,75.70%,47.90%,9.30%,95.6,3,3.44,2.61,2.86,2.8
8,Grayson Rodriguez,BAL,13,4,0,20,20,116.2,10.03,2.78,1.16,0.308,76.00%,40.60%,12.30%,96.3,3.86,3.78,3.66,3.57,2
9,Jesús Luzardo,MIA,3,6,0,12,12,66.2,7.83,2.97,1.22,0.284,66.30%,37.00%,11.80%,95.5,5,4.55,4.26,4.23,0.7
10,Spencer Strider,ATL,0,0,0,2,2,9,12,5,2,0.348,65.60%,40.00%,18.20%,97,7,4.49,5.06,4.01,0
1,Zack Wheeler,PHI,16,7,0,32,32,200,10.08,2.34,0.9,0.246,80.10%,42.60%,10.30%,95.5,2.57,2.81,3.13,3.3,5.4
2,Logan Webb,SFG,13,10,0,33,33,204.2,7.56,2.2,0.48,0.315,71.70%,56.80%,7.90%,92.8,3.47,4.22,2.95,3.28,4.4
3,George Kirby,SEA,14,11,0,33,33,191,8.43,1.08,1.04,0.291,71.60%,41.30%,9.60%,96.2,3.53,3.39,3.26,3.58,4.2
4,Logan Gilbert,SEA,9,12,0,33,33,208.2,9.49,1.6,1.12,0.236,69.50%,45.10%,12.90%,96.8,3.23,3.08,3.27,3.11,4.1
5,Pablo López,MIN,15,10,0,32,32,185.1,9.62,1.99,1.26,0.309,72.20%,42.90%,13.80%,95.1,4.08,3.7,3.65,3.36,3.2
6,Aaron Nola,PHI,14,8,0,33,33,199.1,8.89,2.26,1.35,0.294,79.00%,44.50%,15.60%,92.6,3.57,3.75,3.94,3.44,3.2
7,Joe Ryan,MIN,7,7,0,23,23,135,9.8,1.53,1.27,0.265,70.90%,35.70%,11.70%,94,3.6,2.9,3.44,3.44,3.1
8,Freddy Peralta,MIL,11,9,0,32,32,173.2,10.36,3.52,1.35,0.278,79.60%,36.70%,13.10%,94.4,3.68,3.88,4.16,3.93,2.3
9,Gerrit Cole,NYY,8,5,0,17,17,95,9.38,2.75,1.04,0.273,76.80%,38.70%,9.70%,95.9,3.41,3.59,3.69,3.99,1.8
10,Kodai Senga,NYM,1,0,0,1,1,5.1,15.19,1.69,1.69,0.125,76.90%,22.20%,33.30%,96,3.38,4.8,3.35,1.77,0.1
1,Kevin Gausman,TOR,14,11,0,31,31,181,8.06,2.78,0.99,0.281,70.30%,38.30%,8.90%,94,3.83,4.77,3.77,4.22,2.9
2,Zach Eflin,2 Tms,10,9,0,28,28,165.1,7.29,1.31,1.2,0.287,75.20%,42.70%,11.30%,92.6,3.59,3.62,3.77,3.81,2.8
3,Luis Castillo,SEA,11,12,0,30,30,175.1,8.98,2.41,1.28,0.285,78.30%,39.30%,12.30%,95.7,3.64,3.94,3.91,3.82,2.3