Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR,NameASCII,PlayerId,MLBAMID
"Zack Wheeler","PHI",13,6,0,32,32,192,9.9375,1.828125,0.9375,0.29191321499013806,0.7128,0.41221374,0.0990099,95.96198830409357,3.609375,3.21,3.150873215993246,3.5361715966214744,5.944300174713135,"Zack Wheeler",10310,554430
"Spencer Strider","ATL",20,5,0,32,32,186.2,13.548189552070072,2.796423466263574,1.06071234927239,0.3155216284987277,0.7025,0.34057971,0.121546961,97.37582417582418,3.8571358155359636,3.09,2.853254901874916,2.9242737606487665,5.518599987030029,"Spencer Strider",27498,675911
"Kevin Gausman","TOR",12,9,0,31,31,185,11.52972972972973,2.675675675675676,0.9243243243243243,0.3207126948775056,0.7665,0.426406926,0.107344632,94.64551282051282,3.1621621621621623,3.87,2.9685533961734256,3.215274834955061,5.295440196990967,"Kevin Gausman",14107,592332
"Sonny Gray","MIN",8,8,0,32,32,184,8.951086956521738,2.6902173913043477,0.391304347826087,0.2948207171314741,0.7677,0.473267326,0.051948051,92.84129464285714,2.7880434782608696,3.69,2.8256920565729557,3.6442591712526653,5.284530162811279,"Sonny Gray",12768,543243
"Gerrit Cole","NYY",15,4,0,33,33,209,9.559808612440191,2.0669856459330145,0.861244019138756,0.26145038167938933,0.8043,0.396296296,0.094339622,96.83391003460207,2.626794258373206,3.48,3.1641307917508215,3.5971969077461647,5.226980209350586,"Gerrit Cole",13125,543037
"Zac Gallen","ARI",17,9,0,34,34,210,9.428571428571429,2.0142857142857142,0.9428571428571428,0.3007246376811594,0.7314,0.417832167,0.109452736,93.51571164510166,3.4714285714285715,4.18,3.2645636921837218,3.485153864395051,5.1658501625061035,"Zac Gallen",19291,668678
"Justin Steele","CHC",16,5,0,30,30,173.1,9.138479505043817,1.869234444213508,0.7269245060830309,0.3167701863354037,0.73,0.493877551,0.098591549,,3.063467561349916,3.5,3.0185009560773386,3.3229791360742857,4.872099876403809,"Justin Steele",17312,657006
"Logan Webb","SFG",11,13,0,33,33,216,8.083333333333334,1.2916666666666667,0.8333333333333334,0.3016666666666667,0.7368,0.621138211,0.153846153,92.66991323285399,3.25,3.66,3.1624472900673197,2.9538171007677363,4.854579925537109,"Logan Webb",17995,657277
"Zach Eflin","TBR",16,8,0,31,31,177.2,9.422120764352217,1.2157575179809312,0.9624747017349038,0.2951167728237792,0.7323,0.497925311,0.11728395,93.10000253652598,3.495302864195177,3.11,3.0073855734415744,3.1247015159487574,4.799570083618164,"Zach Eflin",13774,621107
"Pablo López","MIN",11,8,0,32,32,194,10.855670103092784,2.2268041237113403,1.1134020618556701,0.31275720164609055,0.7623,0.452380952,0.13114754,94.87547709923665,3.6649484536082473,3,3.3323594702887784,3.283718149010668,4.470280170440674,"Pablo Lopez",17085,641154
"George Kirby","SEA",13,10,0,31,31,190.2,8.118866607984456,0.8968515439052598,1.0384596824166166,0.29182156133828996,0.7506,0.441651705,0.106796116,96.18571428571428,3.351392611435444,3.82,3.3442005624633593,3.6305149147823403,4.377769947052002,"George Kirby",25436,669923
"Framber Valdez","HOU",12,11,0,31,31,198,9.090909090909092,2.590909090909091,0.8636363636363636,0.28160919540229884,0.7122,0.542056074,0.139705882,95.66156877790179,3.4545454545454546,4.33,3.4974641250841545,3.3856257241181655,4.341350078582764,"Framber Valdez",17295,664285
"Jordan Montgomery","- - -",10,11,0,32,32,188.2,7.918726420828211,2.289752218070808,0.858657081776553,0.29390018484288355,0.7556,0.432432432,0.093264248,93.38051694399351,3.1961124710571696,4.04,3.562460319345345,4.0135050019011596,4.297829866409302,"Jordan Montgomery",16511,656756
"Blake Snell","SDP",14,9,0,32,32,180,11.7,4.95,0.75,0.2557544757033248,0.8673,0.444444444,0.108695652,95.68591823491239,2.25,3.77,3.4383732159932454,3.6226104517777764,4.099480152130127,"Blake Snell",13543,605483
"Aaron Nola","PHI",12,9,0,32,32,193.2,9.387246821089017,2.0912183512327016,1.4870886053210324,0.28460038986354774,0.6641,0.426199261,0.15609756,92.87472647702407,4.461265815963097,3.77,4.029565197931284,3.6316520314771035,3.880150079727173,"Aaron Nola",16149,605400
"Kyle Bradish","BAL",12,7,0,30,30,168.2,8.96440876548715,2.3478213433418724,0.7470340637905958,0.2700228832951945,0.7908,0.492204899,0.102189781,,2.8280575272072555,3.82,3.266897566212144,3.5307864571035563,3.7822799682617188,"Kyle Bradish",24586,680694
"Jesús Luzardo","MIA",10,10,0,32,32,178.2,10.477591955877815,2.7705171037176917,1.1082068414870767,0.3111111111111111,0.7492,0.401709401,0.115183246,96.79129734085414,3.5764857157082925,3.96,3.551681107906453,3.7184181425037766,3.7081398963928223,"Jesus Luzardo",19959,666200
"Dylan Cease","CHW",7,9,0,33,33,177,10.88135593220339,4.016949152542373,0.9661016949152542,0.3304535637149028,0.6941,0.359832635,0.101604278,95.77556818181819,4.576271186440678,4.07,3.723966436332228,4.075248895863355,3.690190076828003,"Dylan Cease",18525,656302
"Corbin Burnes","MIL",10,8,0,32,32,193.2,9.294303783256453,3.0671202484746294,1.0223734161582099,0.24385245901639344,0.7492,0.440944881,0.127906976,95.49455430772569,3.392420880888605,3.4,3.812698109655299,3.8043162049209522,3.434429883956909,"Corbin Burnes",19361,669203
"Luis Castillo","SEA",14,9,0,33,33,197,10.00507614213198,2.5583756345177666,1.2791878172588833,0.26720647773279355,0.7701,0.389210019,0.127272727,96.40323715693174,3.33502538071066,3.79,3.8083393750456995,3.8070076063804827,3.4306700229644775,"Luis Castillo",15689,622491
"Kodai Senga","NYM",12,7,0,29,29,166.1,10.929882112311217,4.166341201227543,0.9198415639073796,0.27735368956743,0.8035,0.44691358,0.115646258,95.87376724346564,2.9759580008768163,3.87,3.6337981736805984,3.766320761947408,3.3843700885772705,"Kodai Senga",31838,673540
"Justin Verlander","- - -",13,8,0,27,27,162.1,7.9835746462787895,2.4948670769621217,0.9979468307848487,0.2647702407002188,0.7692,0.355179704,0.08490566,94.44869371639786,3.215606454751179,3.69,3.846415782384267,4.564141719531046,3.30348002910614,"Justin Verlander",8700,434378
"Mitch Keller","PIT",13,9,0,32,32,194.1,9.72557451600829,2.5471742780021716,1.157806490000987,0.30975143403441685,0.7169,0.436697247,0.135135135,95.25898389095416,4.214415623603593,4.16,3.8004953846159335,3.702057593667056,3.2545299530029297,"Mitch Keller",17594,656605
"Merrill Kelly","ARI",12,8,0,30,30,177.2,9.472777327601422,3.495302864195177,1.0131312649841093,0.27828054298642535,0.7713,0.451965065,0.128205128,92.30932168635171,3.292676611198355,4.13,3.8460331205673093,3.834343020664659,3.1731998920440674,"Merrill Kelly",11156,518876
"Logan Gilbert","SEA",13,7,0,32,32,190.2,8.92131272621548,1.6992976621362816,1.368878672276449,0.2723735408560311,0.7512,0.414498141,0.133027522,95.7673469387755,3.729014314132396,3.69,3.8476961660592943,3.7607956347012585,3.1710801124572754,"Logan Gilbert",22250,669302
"Miles Mikolas","STL",9,13,0,35,35,201.1,6.124182551307702,1.7433804343138712,1.1622536228759142,0.3076923076923077,0.6889,0.388392857,0.098484848,93.52962005395683,4.7831206787585705,5.41,4.273253526632401,4.762419105697984,3.0654900074005127,"Miles Mikolas",9803,571945
"Freddy Peralta","MIL",12,10,0,30,30,165.2,11.408427236864028,2.9335955751936074,1.4124719436117368,0.2734375,0.7374,0.41728395,0.160493827,94.4455172413793,3.857134922939743,3.35,3.8465879616084173,3.4231069761638446,3.0341200828552246,"Freddy Peralta",18679,642547
"José Berríos","TOR",11,12,0,32,32,189.2,8.731091518217553,2.4674823855832217,1.186289608453472,0.2890625,0.7638,0.415730337,0.126262626,94.295,3.6537719940366937,4.55,3.993175639030961,4.005638942203635,2.966520071029663,"Jose Berrios",14168,621244
"Sandy Alcantara","MIA",7,12,0,28,28,184.2,7.359192195689147,2.339345863530325,1.072200187451399,0.2873134328358209,0.6963,0.519927536,0.129411764,98.08243206521739,4.14259163333495,4.3,4.029406684708144,4.00270996011582,2.869040012359619,"Sandy Alcantara",18684,645261
"Charlie Morton","ATL",14,12,0,30,30,163.1,10.08369450806698,4.573478929888303,0.7714301809450149,0.32075471698113206,0.7764,0.43287037,0.093959731,94.99827387802071,3.6367422815979276,4.7,3.8734085197666306,4.267386389845159,2.7049200534820557,"Charlie Morton",4676,450203
"Chris Bassitt","TOR",16,8,0,33,33,200,8.37,2.655,1.26,0.2735674676524954,0.7652,0.422735346,0.132075471,92.50818783362989,3.6,4.04,4.280039882659912,4.212593973875046,2.6419599056243896,"Chris Bassitt",12304,605135
"Yusei Kikuchi","TOR",11,6,0,32,32,167.2,9.715686018442469,2.576535518702975,1.4493012292704235,0.31363636363636366,0.7757,0.397408207,0.152542372,95.08811959087333,3.8648032780544628,4.27,4.119849258150494,3.7717990679895492,2.5968499183654785,"Yusei Kikuchi",20633,579328
"Kyle Gibson","BAL",15,9,0,33,33,192,7.359375,2.578125,1.078125,0.30918727915194344,0.6966,0.488850771,0.127071823,92.2119785299511,4.734375,4.73,4.130039882659913,4.131377788074316,2.5569100379943848,"Kyle Gibson",10123,502043
"Taijuan Walker","PHI",15,6,0,31,31,172.2,7.1930359966790105,3.7007648968420996,1.0424689850259437,0.2721774193548387,0.7136,0.446183953,0.106382978,93.09406952965236,4.378369737108963,4.42,4.534960136497321,4.829343811786659,2.4682400226593018,"Taijuan Walker",11836,592836
"Dane Dunning","TEX",12,7,0,35,26,172.2,7.297295873204967,2.8667948073305225,1.042470839029281,0.28772635814889336,0.775,0.463178294,0.117647058,90.73005506727431,3.700771478553947,4.48,4.268553198382825,4.390580177045198,2.121976370923221,"Dane Dunning",19409,641540
"Cristian Javier","HOU",10,5,0,31,31,162,8.833333333333334,3.4444444444444446,1.3888888888888888,0.271889400921659,0.7175,0.256017505,0.098425196,92.81391200951248,4.555555555555555,4.48,4.5760275369809,5.162148776024948,1.9227399826049805,"Cristian Javier",17606,664299
"Bryce Elder","ATL",12,4,0,31,31,174.2,6.5954069795020995,3.2461768727236895,0.9790057235198428,0.27431906614785995,0.7436,0.49905482,0.121019108,90.87099847560975,3.812969660024651,4.55,4.422976535280075,4.494978729819625,1.8378000259399414,"Bryce Elder",27779,693821
"Johan Oviedo","PIT",9,14,0,32,32,177.2,8.003736993374464,4.204494749684054,0.9624747017349038,0.2795275590551181,0.7205,0.449330783,0.1,95.84738041002278,4.305807876182464,4.61,4.487682921723912,4.865564302463822,1.8296699523925781,"Johan Oviedo",22487,670912
"Dean Kremer","BAL",13,5,0,32,32,172.2,8.183381532453657,2.866789708821345,1.4073331297850238,0.29327902240325865,0.7557,0.393410852,0.139175257,94.64252553389043,4.117752490852477,4.96,4.5117941590523,4.336604152016848,1.4882500171661377,"Dean Kremer",19350,665152
"Lucas Giolito","- - -",8,15,0,33,33,184.1,9.960213459759943,3.5641940321689995,2.001807607108616,0.2740899357601713,0.7283,0.361660079,0.177489177,93.29917485955056,4.882457578313698,4.61,5.267697395498114,4.448120057281894,0.977849006652832,"Lucas Giolito",15474,608337
"Patrick Corbin","WSN",10,15,0,32,32,180,6.2,2.85,1.65,0.3094405594405594,0.7028,0.442016806,0.162561576,91.84463854613733,5.2,6.16,5.277262104882134,4.758543449309137,0.9166569709777832,"Patrick Corbin",9323,571578
"JP Sears","OAK",5,14,0,32,32,172.1,8.408140417734526,2.7678971561486327,1.77563213790667,0.2781316348195329,0.7725,0.290581162,0.129770992,93.2086230876217,4.543529294055303,4.77,5.152529128069981,5.101340230261053,0.6280440092086792,"JP Sears",23429,676664
"Lance Lynn","- - -",13,11,0,32,32,183.2,9.359329665719724,3.283115641901683,2.156075943935434,0.2917505030181087,0.6785,0.356472795,0.19047619,92.64240933641975,5.733201941828312,4.86,5.530897823480648,4.496006000028997,0.5053029805421829,"Lance Lynn",2520,458681
"Jordan Lyles","KCR",6,17,0,31,31,177.2,6.078787589904656,2.279545346214246,1.9756059667190131,0.25464684014869887,0.5626,0.335087719,0.140794223,91.38579561990687,6.281413842901477,5.03,5.619012834289501,5.343096428053256,0.16687199473381042,"Jordan Lyles",7593,543475