,Market Name,Outcome,Bet Price,Player Name,PlayerId,Name_x,Team,ATC_ERA,Depth_Charts_ERA,Steamer_ERA,The_BAT_ERA,ZiPS_ERA,Over_Value,Mean_Projection_ERA,Difference,Median_Projection_ERA,med_diff,mean_diff,Shortened_Name,Name Dirty,Name Dirty 2,Name_y,G,GS,IP,BB,K,W,SV,HD,ERA,WHIP,K/9,espn_diff,Name,GP*,Pre-Season,Current,% Rostered,IP_y,W_y,SV_y,K_y,ERA_y,WHIP_y,yahoo_diff,mean_era_2,mean_diff_2
0,Arizona Diamondbacks - Zac Gallen ERA,Over 3.35,-125,Zac Gallen,19291,Zac Gallen,ARI,3.64813,3.7005,3.82357,3.87008,3.57488,3.35,3.723432,0.37343199999999976,3.7005,0.3504999999999998,0.37343199999999976,Z. Gallen,"Zac Gallen
DiamondbacksSP",Zac Gallen,Zac Gallen,32.0,32.0,190.0,48.0,198.0,14.0,0.0,0.0,3.36,1.1,9.38,0.009999999999999787,Zac Gallen,31.0,50.0,25.0,98%,187.0,13.0,0.0,197.0,3.27,1.06,-0.08000000000000007,3.6067371428571424,0.37343199999999976
1,Atlanta Braves - Spencer Strider ERA,Over 3.05,-115,Spencer Strider,27498,Spencer Strider,ATL,3.38062,3.2317,3.18216,3.21003,3.28386,3.05,3.257674,0.20767400000000036,3.2317,0.1817000000000002,0.20767400000000036,S. Strider,"Spencer Strider
BravesSP",Spencer Strider,Spencer Strider,32.0,32.0,191.0,61.0,288.0,16.0,0.0,0.0,3.35,1.05,13.57,0.30000000000000027,Spencer Strider,30.0,9.0,13.0,99%,193.0,16.0,0.0,270.0,3.4,1.06,0.3500000000000001,3.2911957142857142,0.20767400000000036
2,Baltimore Orioles - Corbin Burnes ERA,Over 3.30,-125,Corbin Burnes,19361,Corbin Burnes,BAL,3.51893,3.52049,3.71614,3.69019,3.31844,3.3,3.552838,0.2528380000000001,3.52049,0.2204900000000003,0.2528380000000001,C. Burnes,"Corbin Burnes
OriolesSP",Corbin Burnes,Corbin Burnes,31.0,31.0,192.0,62.0,222.0,14.0,0.0,0.0,3.33,1.13,10.41,0.03000000000000025,Corbin Burnes,32.0,24.0,8.0,99%,192.0,13.0,0.0,220.0,2.95,1.0,-0.34999999999999964,3.4348842857142854,0.2528380000000001
3,Baltimore Orioles - Grayson Rodriguez ERA,Over 3.55,-120,Grayson Rodriguez,24492,Grayson Rodriguez,BAL,3.72286,3.8225,3.60166,3.86014,4.06493,3.55,3.814418,0.26441800000000004,3.8225,0.27249999999999996,0.26441800000000004,G. Rodriguez,"Grayson Rodriguez
OriolesSP",Grayson Rodriguez,Grayson Rodriguez,30.0,30.0,173.0,57.0,187.0,12.0,0.0,0.0,3.64,1.19,9.73,0.0900000000000003,Grayson Rodriguez,28.0,63.0,118.0,96%,147.0,12.0,0.0,160.0,3.61,1.18,0.06000000000000005,3.7602985714285713,0.26441800000000004
4,Cincinnati Reds - Hunter Greene ERA,Over 3.85,-120,Hunter Greene,22182,Hunter Greene,CIN,4.24071,4.27815,4.25239,4.62985,4.30815,3.85,4.34185,0.4918499999999999,4.27815,0.42815000000000003,0.4918499999999999,H. Greene,"Hunter Greene
RedsSP",Hunter Greene,Hunter Greene,28.0,28.0,162.0,67.0,216.0,9.0,0.0,0.0,4.22,1.27,12.0,0.36999999999999966,Hunter Greene,28.0,135.0,373.0,84%,144.0,9.0,0.0,187.0,4.31,1.28,0.4599999999999995,4.3198928571428565,0.4918499999999999
5,Houston Astros - Framber Valdez ERA,Over 3.25,-115,Framber Valdez,17295,Framber Valdez,HOU,3.39654,3.36596,3.388,3.64024,3.3441,3.25,3.426968,0.17696800000000001,3.388,0.1379999999999999,0.17696800000000001,F. Valdez,"Framber Valdez
AstrosSP",Framber Valdez,Framber Valdez,31.0,31.0,200.0,63.0,207.0,16.0,0.0,0.0,3.47,1.17,9.32,0.2200000000000002,Framber Valdez,30.0,60.0,46.0,97%,189.0,14.0,0.0,186.0,3.19,1.15,-0.06000000000000005,3.3992628571428574,0.17696800000000001
6,Kansas City Royals - Cole Ragans ERA,Over 3.65,-115,Cole Ragans,21846,Cole Ragans,KCR,3.88306,3.98169,3.92891,4.13999,4.04313,3.65,3.9953559999999997,0.3453559999999998,3.98169,0.33169000000000004,0.3453559999999998,C. Ragans,"Cole Ragans
RoyalsRP, SP",Cole Ragans,Cole Ragans,28.0,28.0,167.0,72.0,190.0,10.0,0.0,0.0,3.83,1.26,10.24,0.18000000000000016,Cole Ragans,29.0,117.0,213.0,87%,143.0,8.0,0.0,157.0,3.78,1.2,0.1299999999999999,3.940968571428571,0.3453559999999998
7,Los Angeles Dodgers - Tyler Glasnow ERA,Over 3.40,-105,Tyler Glasnow,14374,Tyler Glasnow,LAD,3.47411,3.52641,3.48186,3.75974,3.57565,3.4,3.563554,0.16355399999999998,3.52641,0.1264099999999999,0.16355399999999998,T. Glasnow,"Tyler Glasnow
DodgersSP",Tyler Glasnow,Tyler Glasnow,26.0,26.0,158.0,48.0,218.0,13.0,0.0,0.0,3.3,1.06,12.42,-0.10000000000000009,Tyler Glasnow,25.0,42.0,51.0,98%,139.0,11.0,0.0,181.0,3.37,1.09,-0.029999999999999805,3.4982528571428575,0.16355399999999998
8,Los Angeles Dodgers - Yoshinobu Yamamoto ERA,Over 3.40,-115,Yoshinobu Yamamoto,sa3023345,Yoshinobu Yamamoto,LAD,3.73031,3.74425,3.97862,4.45003,3.52014,3.4,3.88467,0.48466999999999993,3.74425,0.34425000000000017,0.48466999999999993,Y. Yamamoto,"Yoshinobu Yamamoto
DodgersSP",Yoshinobu Yamamoto,Yoshinobu Yamamoto,28.0,28.0,170.0,42.0,162.0,14.0,0.0,0.0,3.44,1.12,8.58,0.040000000000000036,Yoshinobu Yamamoto,29.0,49.0,37.0,90%,172.0,12.0,0.0,205.0,3.14,1.12,-0.2599999999999998,3.7147642857142857,0.48466999999999993
9,Miami Marlins - Jesús Luzardo ERA,Over 3.55,-125,Jesús Luzardo,19959,Jesús Luzardo,MIA,3.76306,3.81199,3.74454,4.05028,3.88235,3.55,3.8504439999999995,0.3004439999999997,3.81199,0.2619900000000004,0.3004439999999997,J. Luzardo,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8504439999999995,0.3004439999999997
10,Milwaukee Brewers - Freddy Peralta ERA,Over 3.60,-115,Freddy Peralta,18679,Freddy Peralta,MIL,3.6989,3.76711,3.68384,3.57008,3.8563,3.6,3.7152460000000005,0.1152460000000004,3.6989,0.09889999999999999,0.1152460000000004,F. Peralta,"Freddy Peralta
BrewersSP",Freddy Peralta,Freddy Peralta,30.0,30.0,173.0,57.0,215.0,12.0,0.0,0.0,3.69,1.12,11.18,0.08999999999999986,Freddy Peralta,30.0,53.0,55.0,97%,161.0,12.0,0.0,199.0,3.58,1.1,-0.020000000000000018,3.6923185714285722,0.1152460000000004
11,Minnesota Twins - Joe Ryan ERA,Over 3.85,-115,Joe Ryan,21390,Joe Ryan,MIN,3.95418,4.03456,4.05623,3.99014,4.01198,3.85,4.009418,0.15941800000000006,4.01198,0.16198000000000023,0.15941800000000006,J. Ryan,"Joe Ryan
TwinsSP",Joe Ryan,Joe Ryan,30.0,30.0,166.0,39.0,196.0,11.0,0.0,0.0,3.8,1.1,10.63,-0.050000000000000266,Joe Ryan,30.0,80.0,94.0,94%,170.0,11.0,0.0,184.0,3.76,1.11,-0.0900000000000003,3.94387,0.15941800000000006
12,Minnesota Twins - Pablo López ERA,Over 3.35,-115,Pablo López,17085,Pablo López,MIN,3.52653,3.59745,3.51951,3.63999,3.67876,3.35,3.592448,0.242448,3.59745,0.24744999999999973,0.242448,P. López,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.592448,0.242448
13,New York Mets - Kodai Senga ERA,Over 3.30,-125,Kodai Senga,31838,Kodai Senga,NYM,3.68378,3.69191,3.74727,4.23995,3.63354,3.3,3.7992900000000005,0.4992900000000007,3.69191,0.3919100000000002,0.4992900000000007,K. Senga,"Kodai Senga
MetsSP",Kodai Senga,Kodai Senga,30.0,30.0,176.0,76.0,215.0,12.0,0.0,0.0,3.63,1.21,10.99,0.33000000000000007,Kodai Senga,30.0,66.0,72.0,96%,171.0,13.0,0.0,208.0,3.26,1.21,-0.040000000000000036,3.698064285714286,0.4992900000000007
14,New York Yankees - Gerrit Cole ERA,Over 3.15,-125,Gerrit Cole,13125,Gerrit Cole,NYY,3.49956,3.62955,3.7318,3.84979,3.52657,3.15,3.6474540000000006,0.49745400000000073,3.62955,0.47955000000000014,0.49745400000000073,G. Cole,"Gerrit Cole
YankeesSP",Gerrit Cole,Gerrit Cole,33.0,33.0,207.0,52.0,246.0,15.0,0.0,0.0,3.17,1.04,10.7,0.020000000000000018,Gerrit Cole,33.0,18.0,3.0,99%,202.0,15.0,0.0,237.0,2.98,1.0,-0.16999999999999993,3.483895714285715,0.49745400000000073
15,Philadelphia Phillies - Aaron Nola ERA,Over 3.55,-115,Aaron Nola,16149,Aaron Nola,PHI,3.88675,3.82204,3.80916,3.87024,3.83509,3.55,3.8446560000000005,0.2946560000000007,3.83509,0.2850900000000003,0.2946560000000007,A. Nola,"Aaron Nola
PhilliesSP",Aaron Nola,Aaron Nola,31.0,31.0,191.0,40.0,218.0,13.0,0.0,0.0,3.77,1.09,10.27,0.2200000000000002,Aaron Nola,32.0,45.0,82.0,98%,195.0,13.0,0.0,217.0,4.06,1.09,0.5099999999999998,3.864754285714286,0.2946560000000007
16,Philadelphia Phillies - Zack Wheeler ERA,Over 3.35,-115,Zack Wheeler,10310,Zack Wheeler,PHI,3.52073,3.57683,3.54449,3.49995,3.61047,3.35,3.5504939999999996,0.2004939999999995,3.54449,0.19449000000000005,0.2004939999999995,Z. Wheeler,"Zack Wheeler
PhilliesSP",Zack Wheeler,Zack Wheeler,32.0,32.0,194.0,44.0,211.0,15.0,0.0,0.0,3.29,1.08,9.79,-0.06000000000000005,Zack Wheeler,30.0,30.0,22.0,98%,183.0,13.0,0.0,202.0,3.25,1.05,-0.10000000000000009,3.470352857142857,0.2004939999999995
17,San Francisco Giants - Logan Webb ERA,Over 3.25,-115,Logan Webb,17995,Logan Webb,SFG,3.42544,3.42911,3.52849,3.56995,3.32812,3.25,3.4562219999999995,0.20622199999999946,3.42911,0.1791100000000001,0.20622199999999946,L. Webb,"Logan Webb
GiantsSP",Logan Webb,Logan Webb,32.0,32.0,205.0,43.0,189.0,15.0,0.0,0.0,3.16,1.12,8.3,-0.08999999999999986,Logan Webb,32.0,57.0,36.0,98%,197.0,12.0,0.0,178.0,3.11,1.11,-0.14000000000000012,3.3644442857142853,0.20622199999999946
18,Seattle Mariners - George Kirby ERA,Over 3.40,-115,George Kirby,25436,George Kirby,SEA,3.54876,3.5468,3.6094,3.72017,3.48214,3.4,3.581454,0.181454,3.54876,0.14876000000000023,0.181454,G. Kirby,"George Kirby
MarinersSP",George Kirby,George Kirby,32.0,32.0,194.0,27.0,181.0,14.0,0.0,0.0,3.34,1.07,8.4,-0.06000000000000005,George Kirby,33.0,51.0,32.0,98%,185.0,14.0,0.0,179.0,3.31,1.09,-0.08999999999999986,3.5081814285714286,0.181454
19,Seattle Mariners - Logan Gilbert ERA,Over 3.65,-115,Logan Gilbert,22250,Logan Gilbert,SEA,3.79086,3.68314,3.8622,4.18014,3.50521,3.65,3.8043099999999996,0.15430999999999973,3.79086,0.14085999999999999,0.15430999999999973,L. Gilbert,"Logan Gilbert
MarinersSP",Logan Gilbert,Logan Gilbert,32.0,32.0,190.0,44.0,193.0,13.0,0.0,0.0,3.65,1.12,9.14,0.0,Logan Gilbert,31.0,74.0,89.0,96%,177.0,12.0,0.0,174.0,3.66,1.12,0.010000000000000231,3.7616499999999995,0.15430999999999973
20,Seattle Mariners - Luis Castillo ERA,Over 3.35,-115,Luis Castillo,15689,Luis Castillo,SEA,3.53152,3.45,3.6264,3.7299,3.26716,3.35,3.5209960000000002,0.17099600000000015,3.53152,0.1815199999999999,0.17099600000000015,L. Castillo,"Luis Castillo
MarinersSP",Luis Castillo,Luis Castillo,32.0,32.0,193.0,57.0,218.0,14.0,0.0,0.0,3.4,1.12,10.17,0.04999999999999982,Luis Castillo,30.0,37.0,69.0,98%,180.0,11.0,0.0,197.0,3.35,1.14,0.0,3.479282857142857,0.17099600000000015
21,Tampa Bay Rays - Zach Eflin ERA,Over 3.45,-115,Zach Eflin,13774,Zach Eflin,TBR,3.62295,3.50912,3.6356,3.59983,3.37423,3.45,3.548346,0.09834599999999982,3.59983,0.14982999999999969,0.09834599999999982,Z. Eflin,"Zach Eflin
RaysSP",Zach Eflin,Zach Eflin,29.0,29.0,162.0,27.0,159.0,13.0,0.0,0.0,3.5,1.09,8.83,0.04999999999999982,Zach Eflin,30.0,67.0,58.0,96%,172.0,12.0,0.0,170.0,3.56,1.08,0.10999999999999988,3.5431042857142856,0.09834599999999982
22,Toronto Blue Jays - Kevin Gausman ERA,Over 3.25,-115,Kevin Gausman,14107,Kevin Gausman,TOR,3.43314,3.46928,3.47675,3.83977,3.46154,3.25,3.5360959999999997,0.2860959999999997,3.46928,0.21927999999999992,0.2860959999999997,K. Gausman,"Kevin Gausman
Blue JaysSP",Kevin Gausman,Kevin Gausman,31.0,31.0,190.0,49.0,229.0,15.0,0.0,0.0,3.22,1.13,10.85,-0.029999999999999805,Kevin Gausman,31.0,33.0,45.0,98%,183.0,12.0,0.0,225.0,3.15,1.17,-0.10000000000000009,3.435782857142857,0.2860959999999997
