Name,GP*,Pre-Seasonî€‚,Current,% Rostered,IP_y,W_y,SV_y,K_y,ERA_y,WHIP_y
Spencer Strider,30,9,13,99%,193,16,0,270,3.4,1.06
Gerrit Cole,33,18,3,99%,202,15,0,237,2.98,1
Corbin Burnes,32,24,8,99%,192,13,0,220,2.95,1
Zack Wheeler,30,30,22,98%,183,13,0,202,3.25,1.05
Kevin Gausman,31,33,45,98%,183,12,0,225,3.15,1.17
Luis Castillo,30,37,69,98%,180,11,0,197,3.35,1.14
Pablo Lopez,30,40,65,98%,178,13,0,198,3.54,1.13
Tyler Glasnow,25,42,51,98%,139,11,0,181,3.37,1.09
Tarik Skubal,28,43,54,97%,150,11,0,167,3.42,1.07
Aaron Nola,32,45,82,98%,195,13,0,217,4.06,1.09
Max Fried,29,46,18,98%,166,13,0,160,2.66,1.07
Yoshinobu Yamamoto,29,49,37,90%,172,12,0,205,3.14,1.12
Zac Gallen,31,50,25,98%,187,13,0,197,3.27,1.06
George Kirby,33,51,32,98%,185,14,0,179,3.31,1.09
Freddy Peralta,30,53,55,97%,161,12,0,199,3.58,1.1
Logan Webb,32,57,36,98%,197,12,0,178,3.11,1.11
Blake Snell,0,59,1690,96%,0,0,0,0,0,0
Framber Valdez,30,60,46,97%,189,14,0,186,3.19,1.15
Grayson Rodriguez,28,63,118,96%,147,12,0,160,3.61,1.18
Kodai Senga,30,66,72,96%,171,13,0,208,3.26,1.21
Zach Eflin,30,67,58,96%,172,12,0,170,3.56,1.08
Logan Gilbert,31,74,89,96%,177,12,0,174,3.66,1.12
Bobby Miller,28,76,63,95%,165,12,0,166,3.66,1.06
Eury Perez,29,79,48,94%,133,10,0,161,3.11,1.07
Joe Ryan,30,80,94,94%,170,11,0,184,3.76,1.11
Kyle Bradish,28,90,119,93%,155,10,0,151,3.48,1.16
Jesus Luzardo,26,93,254,93%,139,7,0,160,3.88,1.22
Walker Buehler,23,97,62,90%,126,11,0,122,3,1.09
Dylan Cease,33,98,212,92%,177,10,0,220,3.66,1.29
Justin Steele,30,103,136,90%,165,11,0,168,3.44,1.22
Joe Musgrove,24,106,64,90%,139,10,0,144,3.04,1.11
Justin Verlander,23,116,139,90%,140,10,0,128,3.6,1.14
Cole Ragans,29,117,213,87%,143,8,0,157,3.78,1.2
Sonny Gray,29,123,84,87%,161,11,0,160,3.19,1.17
Tanner Bibee,31,126,33,88%,171,12,0,181,2.9,1.14
Chris Bassitt,31,128,93,88%,187,13,0,171,3.51,1.17
Hunter Greene,28,135,373,84%,144,9,0,187,4.31,1.28
Shane Bieber,24,150,105,84%,147,9,0,142,3.31,1.14
Chris Sale,24,157,234,84%,120,8,0,146,4.2,1.17
Hunter Brown,28,159,587,82%,149,11,0,177,4.53,1.34
Cristian Javier,32,168,152,84%,147,9,0,166,3.8,1.15
Jordan Montgomery,0,169,1763,83%,0,0,0,0,0,0
Mitch Keller,30,175,279,82%,173,11,0,171,3.9,1.27
Merrill Kelly,31,177,110,84%,182,12,0,174,3.51,1.19
Shane Baz,18,178,242,77%,70,5,0,78,3.47,1.19
Michael King,26,184,59,83%,120,9,1,144,2.77,1.12
Bailey Ober,27,185,134,77%,151,9,0,146,3.69,1.12
Carlos Rodon,21,186,161,81%,114,8,0,142,3.87,1.12
Yu Darvish,27,187,120,83%,161,11,0,169,3.91,1.12
Braxton Garrett,29,195,173,78%,150,11,0,147,3.66,1.21
Bryan Woo,26,198,224,76%,121,8,0,141,3.94,1.19
Gavin Williams,28,199,113,79%,140,8,0,158,3.09,1.2
Jose Berrios,32,204,283,81%,184,12,0,176,4.11,1.24
Brandon Pfaadt,29,210,181,75%,162,9,0,182,3.89,1.17
Nick Pivetta,35,214,335,76%,157,10,1,179,4.3,1.25
Charlie Morton,26,215,354,75%,145,10,0,161,3.91,1.32
Nathan Eovaldi,30,216,121,82%,167,11,0,161,3.61,1.16
Nick Lodolo,20,218,754,72%,104,4,0,134,4.41,1.4
Bryce Miller,27,221,138,78%,133,10,0,134,3.86,1.1
Eduardo Rodriguez,29,237,204,79%,160,12,0,151,3.77,1.24
Shota Imanaga,24,241,157,67%,136,8,0,150,3.31,1.21
Lucas Giolito,32,242,726,76%,176,10,0,195,4.65,1.32
Triston McKenzie,24,244,251,60%,124,6,0,122,3.85,1.17
Max Scherzer,10,247,229,74%,58,4,0,70,3.41,1.12
Aaron Civale,26,249,210,72%,137,9,0,128,3.88,1.17
Emmet Sheehan,27,252,500,53%,109,7,0,98,4.46,1.23
Ryan Pepiot,23,256,88,77%,104,10,0,116,3.2,1.1
Andrew Abbott,29,258,305,71%,147,10,0,163,3.8,1.31
Brayan Bello,27,261,384,66%,149,12,0,138,4.05,1.31
Taj Bradley,25,262,313,23%,118,9,0,138,4.27,1.24
Kyle Harrison,28,273,206,33%,135,7,0,165,3.53,1.24
Cristopher Sanchez,32,279,273,23%,131,8,0,122,4.12,1.17
Griffin Canning,28,280,428,11%,148,8,0,160,4.32,1.24
Kenta Maeda,28,282,193,39%,142,9,0,157,4.06,1.15
Shane McClanahan,0,285,1880,19%,0,0,0,0,0,0